AGE,FG,FGA,THREEP,THREEPA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PlusMinus
24.0657534247,5,9,1,1,1,2,0,9,9,1,0,1,0,1,12,11,1
24.0739726027,2,7,0,0,0,0,2,6,8,1,0,0,2,0,4,1.8,-3
24.0794520548,4,9,0,1,2,4,2,2,4,1,0,2,2,4,10,5,-1
24.0849315068,4,8,0,0,4,6,1,9,10,2,1,0,0,1,12,12.6,5
24.0904109589,1,4,0,0,2,2,3,3,6,3,1,0,1,1,4,6.3,-17
24.095890411,4,7,0,1,0,0,5,3,8,3,1,1,2,0,8,10.9,-15
24.098630137,2,8,1,2,0,0,3,2,5,2,0,0,0,2,5,3.5,-16
24.1068493151,5,8,0,0,6,6,3,4,7,4,1,3,1,1,16,20.2,-3
24.1095890411,2,3,0,1,0,0,0,6,6,1,1,3,1,3,4,6.1,-12
24.1150684932,1,3,0,0,0,0,0,4,4,2,2,1,0,3,2,4.4,8
24.1205479452,4,6,0,0,0,1,2,2,4,4,2,0,1,3,8,9.6,9
24.1287671233,5,8,0,0,0,0,2,8,10,4,1,1,2,2,10,11.9,6
24.1315068493,5,8,0,0,3,3,0,3,3,5,1,0,1,1,13,13.4,16
24.1397260274,1,4,0,0,5,6,2,6,8,3,1,2,0,2,7,11.1,9
24.1424657534,4,7,0,0,0,0,1,4,5,0,0,1,2,2,8,4.5,-11
24.1479452055,4,7,0,0,2,4,0,3,3,6,1,1,1,1,10,11.3,7
24.1561643836,5,8,1,2,2,2,2,4,6,10,0,1,2,0,13,17.7,-1
24.1616438356,4,10,0,0,4,4,1,4,5,4,1,1,2,2,12,10.2,-14
24.1698630137,6,8,0,0,2,2,1,4,5,3,5,0,2,0,14,17.8,20
24.1753424658,4,10,0,2,4,6,0,10,10,5,2,0,3,2,12,10.5,13
24.1808219178,4,7,0,0,2,3,1,3,4,2,4,0,1,0,10,12.3,7
24.1863013699,2,3,1,1,0,0,0,4,4,0,0,1,1,4,5,3,6
24.1917808219,2,4,0,0,1,2,0,3,3,4,2,0,3,2,5,4.5,3
24.2383561644,2,4,1,2,0,0,1,5,6,3,2,1,1,0,5,9,4
24.2410958904,3,5,0,0,0,2,0,2,2,1,0,0,1,1,6,2.8,-17
24.2465753425,1,4,0,0,4,4,1,4,5,2,0,0,1,1,6,5.5,3
24.2547945205,2,3,0,0,1,1,0,5,5,0,2,0,1,0,5,6.2,9
24.2602739726,4,4,0,0,8,8,2,6,8,0,1,0,1,3,16,16.8,26
24.2657534247,4,7,0,1,0,0,1,6,7,2,2,0,0,2,8,9.8,8
24.2739726027,0,3,0,0,1,2,1,5,6,2,1,1,1,2,1,2,6
24.2767123288,7,8,0,0,0,0,0,7,7,2,1,2,5,4,14,10.5,-3
24.2821917808,1,4,1,1,1,2,1,4,5,2,3,1,0,1,4,7.8,11
24.2876712329,2,4,0,1,4,4,0,6,6,5,1,0,3,2,8,8.5,6
24.2904109589,1,3,0,1,1,2,0,7,7,2,5,0,2,2,3,6.6,8
24.298630137,3,5,0,0,0,0,0,7,7,1,1,0,2,0,6,5.5,-3
24.304109589,3,9,0,3,2,2,2,4,6,6,1,0,1,0,8,9.7,15
24.3095890411,3,6,1,2,6,6,1,5,6,1,3,0,2,1,13,13.5,3
24.3150684932,0,2,0,0,2,2,1,0,1,2,0,1,2,1,2,1,-5
24.3205479452,2,5,1,1,0,0,4,7,11,3,2,3,2,1,5,11,5
24.3260273973,4,6,2,4,0,0,0,9,9,3,4,3,3,1,10,14.9,-2
24.3315068493,5,10,0,0,0,0,3,9,12,5,1,1,0,3,10,13.8,13
24.3342465753,2,7,1,2,0,0,1,2,3,1,4,2,1,3,5,6.1,18
24.3397260274,2,5,0,0,0,0,1,3,4,1,1,0,2,2,4,1.8,-16
24.3452054795,1,1,0,0,0,0,0,3,3,4,0,0,0,1,2,5,4
24.3506849315,9,12,0,0,0,0,1,3,4,5,1,2,1,0,18,19.7,5
24.3561643836,3,7,0,2,1,1,0,4,4,2,1,1,0,1,7,7.2,-9
24.3616438356,4,6,0,1,0,0,1,2,3,1,3,0,1,1,8,9,-12
24.3726027397,0,2,0,0,0,0,0,5,5,4,0,0,0,1,0,2.5,22
24.3808219178,9,13,0,1,2,5,3,3,6,4,3,2,4,2,20,18.7,2
24.3863013699,5,12,0,3,6,8,1,4,5,3,0,1,4,2,16,8.7,-14
24.3890410959,1,3,0,0,0,2,0,2,2,2,0,2,2,2,2,0.1,-24
